id,report_year,metric_id,value,value_text,is_adjusted,adjustment_note
188,2020,24,66.0,,False,
189,2020,25,38.0,,False,
190,2020,26,82.0,,False,
191,2020,27,39859.0,,False,
192,2019,8,21.0,,False,
193,2019,9,1.0,,False,
194,2019,10,22.0,,False,
195,2019,11,0.0,,False,
196,2019,12,0.0,,False,
197,2019,13,0.0,,False,
198,2019,14,,,False,
199,2019,15,,,False,
200,2019,16,,,False,
201,2019,17,,,False,
202,2019,18,,,False,
203,2019,19,,,False,
204,2019,20,22.0,,False,
205,2019,21,45.0,,False,
206,2019,22,39.0,,False,
207,2019,23,67.0,,False,
208,2019,24,66.0,,False,
209,2019,25,40.0,,False,
210,2019,26,89.0,,False,
211,2019,27,39852.0,,False,
212,2018,8,15.0,,False,
213,2018,9,1.0,,False,
214,2018,10,16.0,,False,
215,2018,11,0.0,,False,
216,2018,12,0.0,,False,
217,2018,13,0.0,,False,
218,2018,14,2.0,,False,
219,2018,15,1.0,,False,
220,2018,16,2.75,,False,
221,2018,17,1.0,,False,
222,2018,18,0.0,,False,
223,2018,19,1.0,,False,
224,2018,20,19.5,,False,
225,2018,21,62.0,,False,
226,2018,22,43.0,,False,
227,2018,23,75.0,,False,
228,2018,24,80.0,,False,
229,2018,25,45.0,,False,
230,2018,26,94.5,,False,
231,2018,27,39859.0,,False,
232,2017,8,15.0,,False,
233,2017,9,1.0,,False,
234,2017,10,16.0,,False,
235,2017,11,,,False,
236,2017,12,,,False,
237,2017,13,,,False,
238,2017,14,2.0,,False,
239,2017,15,1.0,,False,
240,2017,16,3.0,,False,
241,2017,17,1.0,,False,
242,2017,18,0.0,,False,
243,2017,19,1.0,,False,
244,2017,20,20.0,,False,
245,2017,21,44.0,,False,
246,2017,22,43.0,,False,
247,2017,23,76.0,,False,
248,2017,24,62.0,,False,
249,2017,25,45.0,,False,
250,2017,26,96.0,,False,
251,2017,27,39859.0,,False,
252,2016,8,11.0,,False,
253,2016,9,1.0,,False,
254,2016,10,11.75,,False,
255,2016,11,,,False,
256,2016,12,,,False,
257,2016,13,,,False,
258,2016,14,2.0,,False,
259,2016,15,1.0,,False,
260,2016,16,2.75,,False,
261,2016,17,4.0,,False,
262,2016,18,1.0,,False,
263,2016,19,4.75,,False,
264,2016,20,19.25,,False,
265,2016,21,43.0,,False,
266,2016,22,42.0,,False,
267,2016,23,74.5,,False,
268,2016,24,60.0,,False,
269,2016,25,45.0,,False,
270,2016,26,93.75,,False,
271,2016,27,38432.0,,False,
272,2015,8,17.0,,False,
273,2015,9,0.0,,False,
274,2015,10,17.0,,False,
275,2015,11,,,False,
276,2015,12,,,False,
277,2015,13,,,False,
278,2015,14,2.0,,False,
279,2015,15,1.0,,False,
280,2015,16,3.0,,False,
281,2015,17,4.0,,False,
282,2015,18,1.0,,False,
283,2015,19,5.0,,False,
284,2015,20,25.0,,False,
285,2015,21,17.0,,False,
286,2015,22,60.0,,False,
287,2015,23,90.0,,False,
288,2015,24,40.0,,False,
289,2015,25,62.0,,False,
290,2015,26,115.0,,False,
291,2015,27,38432.0,,False,
292,2014,8,17.0,,False,
293,2014,9,0.0,,False,
